Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2022-11-05 11:34:45Z : PB = 481259520 : In   : ---------------------------- StyleCop.StyleCopCore..ctor(environment=<null>, hostTag=<null>)
2022-11-05 11:34:45Z : PB = 481304576 : Out  : ---------------------------- StyleCop.StyleCopCore..ctor()
2022-11-05 11:34:46Z : PB = 481730560 : Out  : ------------------------- StyleCop.StyleCopCore.Initialize()
C:\Users\User\Documents\大學三年級\111-1-Windows-Programming\HW4\debug.log
2022-11-05 11:34:48Z : PB = 484012032 : In   : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze(full=True, type={Solution}, analysisFileManager=<missing>)
2022-11-05 11:34:48Z : PB = 484458496 : In   : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
2022-11-05 11:34:48Z : PB = 484458496 : Out  : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze()
2022-11-05 11:34:48Z : PB = 484458496 : In   : ------ StyleCop.StyleCopCore.FullAnalyze(projects=[List<CodeProject>: Count = 2])
2022-11-05 11:34:48Z : PB = 484483072 : In   : ------- StyleCop.StyleCopCore.Analyze(projects=[List<CodeProject>: Count = 2], ignoreCache=True, settingsPath=<null>)
2022-11-05 11:34:49Z : PB = 484065280 : In   : -------- StyleCop.StyleCopCore.RunWorkerThreads(data=[Data], count=1)
2022-11-05 11:34:49Z : PB = 484073472 : In   : --------- StyleCop.StyleCopThread.DoWork(sender=<null>)
2022-11-05 11:34:49Z : PB = 484081664 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-05 11:34:49Z : PB = 484106240 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-05 11:34:49Z : PB = 484458496 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-05 11:34:49Z : PB = 484462592 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-05 11:34:49Z : PB = 484483072 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-05 11:34:50Z : PB = 490823680 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-05 11:34:50Z : PB = 490823680 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-05 11:34:50Z : PB = 490835968 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-05 11:34:50Z : PB = 490835968 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-05 11:34:50Z : PB = 490835968 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-05 11:34:50Z : PB = 490868736 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-05 11:34:50Z : PB = 490868736 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-05 11:34:50Z : PB = 490868736 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-05 11:34:50Z : PB = 492670976 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-05 11:34:50Z : PB = 492670976 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-05 11:34:50Z : PB = 492670976 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-05 11:34:50Z : PB = 492670976 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-05 11:34:50Z : PB = 492670976 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-05 11:34:50Z : PB = 492670976 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-05 11:34:50Z : PB = 492670976 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-05 11:34:50Z : PB = 492670976 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-05 11:34:50Z : PB = 495280128 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-05 11:34:50Z : PB = 495280128 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-05 11:34:50Z : PB = 495280128 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-05 11:34:50Z : PB = 495280128 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-05 11:34:50Z : PB = 495280128 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-05 11:34:50Z : PB = 495296512 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-05 11:34:50Z : PB = 495296512 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-05 11:34:50Z : PB = 495362048 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-05 11:34:50Z : PB = 499130368 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-05 11:34:50Z : PB = 499130368 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-05 11:34:50Z : PB = 499130368 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-05 11:34:50Z : PB = 499130368 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-05 11:34:50Z : PB = 499130368 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-05 11:34:50Z : PB = 499154944 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-05 11:34:50Z : PB = 499154944 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-05 11:34:50Z : PB = 499154944 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-05 11:34:50Z : PB = 503656448 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-05 11:34:50Z : PB = 503656448 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-05 11:34:50Z : PB = 503656448 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-05 11:34:50Z : PB = 503656448 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-05 11:34:50Z : PB = 503656448 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-05 11:34:51Z : PB = 503664640 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-05 11:34:51Z : PB = 503664640 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-05 11:34:51Z : PB = 503664640 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-05 11:34:51Z : PB = 510349312 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-05 11:34:51Z : PB = 510349312 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-05 11:34:51Z : PB = 510349312 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-05 11:34:51Z : PB = 510349312 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-05 11:34:51Z : PB = 510349312 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-05 11:34:51Z : PB = 510361600 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-05 11:34:51Z : PB = 510361600 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-05 11:34:51Z : PB = 510361600 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-05 11:34:51Z : PB = 517246976 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-05 11:34:51Z : PB = 517246976 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
